,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand,torque_nm,torque_max_rpm
40,2014,1500000,77000,diesel,dealer,manual,first owner,12.55,2982.0,168.5,7,toyota fortuner,343.0,3400
41,2013,700000,99000,diesel,dealer,manual,first owner,12.99,2494.0,100.0,7,toyota innova,200.0,3400
42,2014,1450000,27800,diesel,dealer,automatic,second owner,14.8,2143.0,120.7,5,mercedes-benz b,200.0,4000
43,2015,425000,49800,diesel,dealer,manual,first owner,24.7,1498.0,98.63,5,honda amaze,200.0,1750
44,2013,1090000,151000,diesel,dealer,manual,first owner,13.5,2477.0,175.56,7,mitsubishi pajero,400.0,2500
45,2015,600000,54700,diesel,dealer,manual,first owner,26.0,1498.0,98.6,5,honda city,200.0,1750
46,2015,525000,63000,diesel,dealer,manual,first owner,27.3,1498.0,98.6,5,honda jazz,200.0,1750
47,2016,1650000,127700,diesel,dealer,automatic,second owner,11.36,2755.0,171.5,7,toyota innova,360.0,3400
48,2016,950000,99000,diesel,dealer,manual,first owner,12.99,2494.0,100.6,7,toyota innova,200.0,3600
49,2013,1750000,33900,diesel,dealer,automatic,second owner,17.68,1968.0,174.33,5,audi a6,380.0,2500
50,2013,1689999,50000,diesel,dealer,automatic,first owner,18.53,1968.0,187.74,5,audi a6,400.0,3000
51,2013,1425000,59000,diesel,dealer,automatic,first owner,14.84,2143.0,170.0,5,mercedes-benz new,400.0,2800
52,2011,265000,120000,diesel,individual,manual,first owner,21.12,1248.0,88.8,5,tata manza,200.0,3000
53,2011,190000,110000,petrol,individual,manual,third owner,20.36,1197.0,78.9,5,hyundai i10,111.7,4000
54,2013,425000,60000,diesel,individual,manual,first owner,21.27,1396.0,88.76,5,hyundai i20,219.6,2750
55,2015,630000,147000,diesel,individual,manual,second owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
56,2017,600000,25000,petrol,individual,manual,third owner,18.16,1196.0,86.8,5,ford figo,112.0,4000
57,2019,650000,30000,petrol,individual,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
58,2016,540000,40000,diesel,individual,manual,first owner,22.0,1498.0,108.495,5,volkswagen ameo,250.0,3000
59,2015,630000,135000,diesel,individual,manual,first owner,25.1,1498.0,98.6,5,honda city,200.0,1750
60,2018,448000,30000,petrol,individual,automatic,first owner,20.51,998.0,67.0,5,maruti wagon,90.0,3500
61,2017,500000,80000,diesel,individual,manual,first owner,21.66,1498.0,108.62,5,volkswagen ameo,250.0,3000
62,2019,1025000,9850,diesel,individual,automatic,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
63,2016,630000,70000,diesel,individual,manual,first owner,25.2,1248.0,74.0,5,maruti swift,190.0,2000
64,2015,1700000,78000,diesel,individual,manual,second owner,12.55,2982.0,168.5,7,toyota fortuner,343.0,3400
65,2013,450000,120000,diesel,individual,manual,second owner,22.9,1248.0,74.0,5,maruti swift,190.0,2000
66,2012,450000,120000,petrol,individual,manual,second owner,16.02,1373.0,93.7,7,maruti ertiga,130.0,4000
67,2013,450000,170000,diesel,individual,manual,first owner,20.54,1598.0,103.6,5,volkswagen vento,250.0,2500
68,2016,1200000,140000,diesel,individual,manual,first owner,12.99,2494.0,100.6,8,toyota innova,200.0,3600
69,2015,610000,90000,diesel,individual,manual,first owner,22.77,1498.0,98.59,5,ford ecosport,205.0,3250
70,2016,2500000,30000,petrol,individual,automatic,second owner,15.71,1998.0,189.0,5,bmw x1,280.0,4600
71,2017,484999,10000,petrol,dealer,manual,first owner,23.1,998.0,67.04,5,maruti celerio,90.0,3500
72,2016,275000,49000,petrol,dealer,manual,first owner,19.02,1198.0,67.05,5,datsun go,104.0,4000
73,2016,315000,32000,petrol,dealer,manual,first owner,24.7,796.0,47.3,5,maruti alto,69.0,3500
74,2016,275000,38000,petrol,dealer,manual,first owner,24.7,796.0,47.3,5,maruti alto,69.0,3500
75,2012,290000,28000,petrol,dealer,manual,first owner,19.81,1086.0,68.05,5,hyundai i10,99.04,4500
76,2017,280000,32000,petrol,dealer,manual,first owner,14.0,796.0,35.0,5,maruti omni,61.0,3000
77,2010,225000,44000,lpg,dealer,manual,first owner,39.3,998.0,58.2,5,maruti wagon,77.0,3500
78,2015,455000,42000,petrol,dealer,manual,first owner,16.47,1198.0,74.0,5,volkswagen polo,110.0,3750
79,2015,351000,45000,petrol,dealer,manual,second owner,19.81,1086.0,68.05,5,hyundai i10,99.04,4500
80,2012,535000,12000,petrol,dealer,manual,second owner,15.04,1598.0,103.6,5,volkswagen vento,153.0,3800
81,2009,175000,55500,petrol,dealer,manual,first owner,18.2,998.0,67.1,5,maruti zen,90.0,3500
82,2013,525000,61500,petrol,dealer,manual,first owner,18.5,1197.0,82.85,5,hyundai i20,113.7,4000
83,2016,600000,150000,diesel,individual,manual,first owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
84,2016,565000,72000,petrol,dealer,automatic,first owner,19.1,1197.0,82.0,5,hyundai xcent,114.0,4000
85,2008,120000,68000,petrol,dealer,manual,third owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
86,2017,725000,110000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
87,2009,185000,77000,petrol,dealer,manual,second owner,21.79,998.0,67.05,5,maruti wagon,90.0,3500
88,2010,200000,100000,diesel,individual,manual,second owner,18.8,1248.0,90.0,5,tata manza,200.0,3000
89,2019,615000,10000,petrol,individual,manual,first owner,21.21,1197.0,81.8,5,maruti swift,113.0,4200
90,2018,610000,35000,petrol,individual,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
91,2014,625000,70000,diesel,individual,automatic,second owner,11.79,2179.0,120.0,8,mahindra scorpio,290.0,2800
92,2020,400000,5000,petrol,individual,manual,second owner,19.0,1194.0,94.68,5,ford freestyle,120.0,4250
93,2017,866000,37800,petrol,individual,manual,first owner,17.0,1591.0,121.3,5,hyundai verna,151.0,4850
94,2010,700000,114000,petrol,individual,manual,first owner,14.3,1798.0,160.0,5,volkswagen passat,250.0,4500
95,2019,1700000,32000,diesel,individual,manual,first owner,15.1,2179.0,155.0,7,mahindra xuv500,360.0,2800
96,2016,375000,100000,diesel,individual,manual,first owner,19.09,1405.0,69.01,5,tata indigo,135.0,2500
97,2013,522000,150000,diesel,individual,manual,second owner,22.32,1582.0,126.32,5,hyundai verna,259.8,2750
98,2013,451999,69000,diesel,individual,manual,first owner,21.9,1396.0,88.76,5,hyundai i20,219.6,2750
99,2009,300000,100000,petrol,individual,manual,second owner,14.53,1798.0,138.1,5,toyota corolla,173.0,4000
100,2020,475000,13000,petrol,individual,manual,first owner,21.63,998.0,67.04,5,maruti celerio,90.0,3500
101,2016,780000,60000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
102,2017,595000,40000,petrol,individual,manual,first owner,20.85,1197.0,83.14,5,maruti swift,115.0,4000
103,2014,400000,70000,diesel,individual,manual,third owner,20.45,1461.0,83.8,5,nissan terrano,200.0,1900
104,2016,1140000,50000,diesel,individual,manual,first owner,19.67,1582.0,126.2,5,hyundai creta,259.9,2750
105,2012,370000,175000,diesel,individual,manual,fourth & above owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
106,2018,350000,25000,petrol,individual,manual,first owner,23.01,999.0,67.0,5,renault kwid,91.0,4250
107,2015,360000,40000,petrol,individual,manual,second owner,23.1,998.0,67.04,5,maruti celerio,90.0,3500
108,2008,105000,65000,petrol,individual,manual,fourth & above owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
109,2009,135000,80000,petrol,individual,manual,second owner,17.92,1086.0,62.1,5,hyundai santro,96.1,3000
110,2015,700000,110000,diesel,individual,manual,second owner,20.77,1248.0,88.76,7,maruti ertiga,200.0,1750
111,2019,690000,1303,petrol,dealer,manual,first owner,17.8,1198.0,86.7,5,honda amaze,109.0,4500
112,2018,3975000,31800,diesel,dealer,automatic,first owner,17.01,1968.0,188.0,5,audi q5,400.0,3000
113,2017,3200000,45000,diesel,dealer,automatic,first owner,19.33,1999.0,177.0,5,jaguar xf,430.0,2500
114,2018,3790000,29500,diesel,dealer,automatic,first owner,22.48,1995.0,187.74,5,bmw 5,400.0,2500
115,2019,5800000,7500,diesel,dealer,automatic,first owner,16.78,1995.0,190.0,5,bmw x4,400.0,2500
116,2018,1864999,50000,petrol,dealer,automatic,first owner,14.67,1798.0,177.46,5,skoda superb,250.0,5000
117,2016,2700000,35000,diesel,dealer,automatic,first owner,15.0,2143.0,204.0,5,mercedes-benz e-class,500.0,1800
118,2019,1750000,19000,petrol,dealer,automatic,first owner,13.96,1451.0,141.0,5,mg hector,250.0,3600
119,2013,625000,39000,petrol,dealer,automatic,first owner,14.28,1798.0,138.03,5,toyota corolla,173.0,4000
120,2015,2650000,53000,diesel,dealer,automatic,first owner,12.07,2967.0,241.4,7,audi q7,550.0,2750
121,2015,535000,40000,diesel,dealer,manual,first owner,26.21,1248.0,88.5,5,maruti ciaz,200.0,1750
122,2010,975000,72200,petrol,dealer,automatic,second owner,10.8,2497.0,150.0,5,bmw 5,250.0,2750
123,2018,811000,11000,petrol,dealer,manual,first owner,17.0,1198.0,108.5,5,tata nexon,170.0,4000
124,2011,375000,49000,petrol,individual,manual,first owner,15.04,1598.0,103.6,5,volkswagen vento,153.0,3800
125,2012,550000,95000,petrol,individual,manual,first owner,16.3,1797.0,147.5,5,hyundai elantra,177.5,4700
126,2016,645000,11000,petrol,dealer,automatic,first owner,14.3,1598.0,103.5,5,skoda rapid,153.0,3800
127,2017,2700000,16000,petrol,dealer,automatic,first owner,14.74,1991.0,181.04,5,mercedes-benz new,300.0,1400
128,2017,875000,18000,petrol,dealer,automatic,first owner,15.6,1497.0,116.3,5,honda city,146.0,4800
129,2019,894999,9654,petrol,dealer,automatic,first owner,19.56,1197.0,81.8,5,toyota glanza,113.0,4200
130,2011,175000,11000,petrol,dealer,manual,first owner,23.95,998.0,67.05,5,maruti alto,90.0,3500
131,2012,340000,24300,petrol,dealer,manual,first owner,21.21,1197.0,81.8,5,maruti swift,113.0,4200
132,2018,1025000,8000,diesel,dealer,automatic,first owner,21.5,1497.0,108.5,5,tata nexon,260.0,2750
133,2016,2150000,30000,diesel,dealer,automatic,first owner,22.69,1995.0,190.0,5,bmw 3,400.0,2500
134,2016,1900000,41000,petrol,dealer,automatic,first owner,19.16,2494.0,157.7,5,toyota camry,213.0,4500
135,2016,2900000,12000,diesel,dealer,automatic,first owner,18.12,1995.0,190.0,5,bmw 5,400.0,2500
136,2009,450000,71000,petrol,dealer,automatic,first owner,12.1,2362.0,164.7,5,toyota camry,224.0,4000
137,2016,850000,20000,petrol,individual,manual,first owner,17.5,1373.0,91.1,7,maruti ertiga,130.0,4000
138,2018,575000,9500,petrol,individual,manual,first owner,18.16,1196.0,86.8,5,ford figo,112.0,4000
139,2011,160000,120000,diesel,individual,manual,first owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
140,2015,515000,36600,petrol,individual,manual,first owner,20.4,1197.0,81.8,5,maruti swift,113.0,4200
141,2015,390000,50000,petrol,individual,automatic,second owner,20.51,998.0,67.0,5,maruti wagon,90.0,3500
142,2016,550000,14000,petrol,individual,manual,second owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
143,1999,40000,40000,petrol,individual,manual,second owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
144,2010,220000,120000,diesel,individual,manual,first owner,21.1,1248.0,73.9,5,maruti ritz,113.0,4500
145,2015,425000,70000,petrol,individual,manual,first owner,18.9,1197.0,82.0,5,hyundai grand,114.0,4000
146,2019,480000,13000,petrol,individual,manual,first owner,19.44,999.0,75.0,5,volkswagen ameo,95.0,4300
147,2014,487000,35000,petrol,individual,manual,first owner,19.1,1197.0,85.8,5,maruti swift,114.0,4000
148,2016,386000,44000,petrol,individual,manual,second owner,19.1,1197.0,82.0,5,hyundai xcent,114.0,4000
149,2005,100000,120000,petrol,individual,manual,second owner,13.0,1493.0,100.0,5,honda city,131.0,4600
150,2010,300000,60000,diesel,individual,manual,first owner,21.43,1364.0,87.2,5,toyota corolla,205.0,2800
151,2000,100000,60000,petrol,individual,manual,first owner,18.5,796.0,53.0,5,daewoo matiz,71.0,3500
152,2014,1750000,30000,diesel,individual,manual,second owner,13.0,2982.0,168.5,7,toyota fortuner,343.0,3400
153,2016,450000,15000,petrol,individual,manual,second owner,18.15,1198.0,82.0,6,mahindra kuv,115.0,3600
154,2017,490000,90000,diesel,individual,manual,first owner,22.95,1248.0,74.0,5,tata zest,190.0,3000
155,2009,345000,47000,petrol,individual,manual,second owner,17.0,1497.0,118.0,5,honda city,146.0,4800
156,2005,85000,90000,petrol,individual,manual,first owner,17.3,993.0,60.0,5,maruti zen,78.0,4500
157,2005,65000,86000,petrol,individual,manual,first owner,15.3,1341.0,83.0,5,hyundai getz,115.0,3200
158,2017,800000,37000,diesel,individual,manual,first owner,28.09,1248.0,88.5,5,maruti ciaz,200.0,1750
159,2019,520000,14000,petrol,individual,manual,first owner,20.3,1199.0,84.0,5,tata tigor,114.0,3500
160,2015,580000,70000,diesel,individual,manual,first owner,20.77,1248.0,88.76,7,maruti ertiga,200.0,1750
161,2015,600000,50000,petrol,individual,manual,first owner,17.4,1497.0,117.3,5,honda city,145.0,4600
162,2016,360000,50000,cng,individual,manual,first owner,39.900000000000006,998.0,58.16,5,maruti wagon,77.0,3500
163,2017,550000,50000,petrol,individual,manual,first owner,20.85,1197.0,83.14,5,maruti swift,115.0,4000
164,2018,420000,35000,petrol,individual,automatic,first owner,20.51,998.0,67.0,5,maruti wagon,90.0,3500
165,2017,550000,20000,petrol,individual,manual,first owner,21.21,1197.0,81.8,5,maruti swift,113.0,4200
166,2018,700000,7800,petrol,individual,automatic,first owner,22.0,1197.0,81.8,5,maruti swift,113.0,4200
167,2017,500000,20000,petrol,individual,manual,first owner,20.4,1197.0,81.8,5,maruti swift,113.0,4200
168,2019,1250000,15000,diesel,individual,manual,first owner,17.6,2179.0,147.94,7,tata hexa,320.0,3000
169,2013,320000,31377,petrol,individual,manual,second owner,18.5,1197.0,82.85,5,hyundai i20,113.7,4000
170,2018,700000,50000,diesel,individual,manual,first owner,28.4,1248.0,74.02,5,maruti swift,190.0,2000
171,2015,290000,60000,petrol,individual,manual,first owner,20.51,998.0,67.04,5,maruti wagon,90.0,3500
172,2012,550000,100000,petrol,individual,automatic,first owner,14.53,1794.0,138.1,5,toyota corolla,173.0,4000
173,2018,830000,5000,petrol,individual,automatic,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
174,2017,800000,60000,diesel,individual,manual,first owner,14.1,2179.0,147.94,7,tata safari,320.0,3000
175,2017,329000,80000,petrol,individual,manual,second owner,20.63,1198.0,67.0,5,datsun go,104.0,4000
176,2017,775000,75000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
177,2020,524000,32000,petrol,individual,manual,first owner,20.14,1197.0,81.86,5,hyundai xcent,113.75,4000
178,2015,245000,40000,petrol,individual,manual,first owner,22.74,796.0,47.3,5,maruti alto,69.0,3500
179,2012,275000,93000,petrol,individual,manual,second owner,17.0,1197.0,80.0,5,hyundai i20,114.0,4000
180,2018,520000,60000,petrol,individual,manual,first owner,17.57,1193.0,88.7,5,tata zest,140.0,4000
181,2014,550000,37000,petrol,individual,manual,first owner,16.95,1498.0,97.7,5,nissan sunny,134.0,4000
182,2018,910000,15000,petrol,individual,manual,first owner,17.0,1497.0,121.36,5,ford ecosport,150.0,4500
183,2016,350000,140000,petrol,individual,manual,first owner,20.51,998.0,67.04,5,maruti wagon,90.0,3500
184,2013,900000,70000,diesel,individual,manual,first owner,12.83,2696.0,162.0,7,mahindra ssangyong,340.0,3250
185,2013,300000,120000,diesel,individual,manual,second owner,17.21,1493.0,100.0,7,mahindra quanto,240.0,2800
186,2010,250000,110000,diesel,individual,manual,second owner,21.1,1248.0,73.9,5,maruti ritz,190.0,2000
187,2017,1100000,37000,diesel,individual,manual,first owner,19.67,1582.0,126.2,5,hyundai creta,259.9,2750
188,2016,270000,44000,petrol,individual,manual,first owner,25.17,799.0,53.3,5,renault kwid,72.0,4386
189,2015,640000,80000,diesel,individual,manual,first owner,20.77,1248.0,88.76,7,maruti ertiga,200.0,1750
190,2015,650000,125000,diesel,individual,manual,first owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
191,2017,409999,13500,petrol,individual,manual,first owner,15.37,1196.0,73.0,5,maruti eeco,101.0,3000
192,2011,165000,75000,petrol,individual,manual,first owner,17.92,1086.0,62.1,5,hyundai santro,96.1,3000
193,2007,80000,120000,petrol,individual,manual,second owner,13.2,1495.0,94.0,5,hyundai accent,125.0,3500
194,2012,535000,120000,diesel,individual,manual,first owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
195,2013,700000,70000,diesel,individual,manual,first owner,12.99,2494.0,100.57,7,toyota innova,200.0,3400
196,2013,550000,70000,diesel,individual,manual,first owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
197,2019,680000,15000,petrol,individual,automatic,first owner,19.0,1199.0,88.76,5,honda amaze,110.0,4800
198,2009,200000,53000,petrol,individual,manual,second owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
199,2014,500000,120000,diesel,individual,manual,second owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
200,2016,1000000,70000,diesel,individual,manual,first owner,24.52,1248.0,88.5,7,maruti ertiga,200.0,1750
201,2008,110000,120000,petrol,individual,manual,second owner,14.2,1341.0,82.9,5,hyundai getz,118.0,3200
202,2012,320000,100000,petrol,individual,manual,second owner,18.5,1197.0,80.0,5,hyundai i20,114.0,4000
203,2015,350000,100000,petrol,individual,manual,first owner,20.4,1197.0,83.11,5,maruti swift,113.0,4200
204,2013,170000,162500,diesel,individual,manual,first owner,19.4,1405.0,70.0,5,tata indica,135.4,2500
205,2017,800000,39000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
206,2017,500000,75000,diesel,individual,manual,first owner,26.8,1248.0,74.0,5,maruti ignis,190.0,2000
207,2017,1380000,50000,diesel,individual,automatic,first owner,17.6,2179.0,153.86,7,tata hexa,400.0,2500
208,2019,1300000,40000,diesel,individual,manual,first owner,17.3,1497.0,121.0,8,mahindra marazzo,300.0,2500
209,2013,530000,92500,diesel,individual,manual,first owner,22.32,1582.0,126.3,5,hyundai verna,259.9,2750
210,2012,360000,158000,diesel,individual,manual,first owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
211,2012,310000,120000,diesel,individual,manual,first owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
212,2015,725000,50000,diesel,individual,manual,second owner,26.0,1498.0,98.6,5,honda city,200.0,1750
213,2012,340000,110000,diesel,individual,manual,first owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
214,2017,550000,2000,diesel,individual,manual,second owner,25.4,1186.0,73.97,5,hyundai xcent,190.25,2250
215,2016,380000,70000,diesel,individual,manual,first owner,27.28,1047.0,69.0,5,tata tiago,140.0,3000
216,2013,350000,90000,petrol,individual,automatic,second owner,17.97,1498.0,99.6,5,nissan sunny,134.0,4000
217,2019,610000,2000,petrol,individual,manual,first owner,18.6,1197.0,81.86,5,hyundai elite,117.0,4000
218,2015,525000,20000,petrol,individual,manual,first owner,20.85,1197.0,83.14,5,maruti swift,115.0,4000
219,2011,480000,120000,diesel,individual,manual,first owner,12.8,2494.0,102.0,7,toyota innova,204.0,3400
220,2017,780000,35000,diesel,individual,manual,first owner,16.55,2498.0,105.0,6,mahindra thar,247.0,2000
221,2012,320000,193000,diesel,individual,manual,first owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
222,2014,375000,80000,petrol,individual,manual,first owner,20.4,1197.0,81.8,5,maruti swift,113.0,4200
223,2019,300000,40000,petrol,individual,manual,first owner,19.02,1198.0,67.05,5,datsun go,104.0,4000
224,2015,500000,70000,diesel,individual,manual,fourth & above owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
225,2011,404000,122358,diesel,individual,manual,first owner,12.05,2179.0,120.0,9,mahindra scorpio,290.0,2800
226,2017,350000,120000,diesel,individual,manual,first owner,27.28,1047.0,69.0,5,tata tiago,140.0,3000
227,2015,380000,40000,petrol,individual,manual,first owner,17.57,1193.0,88.7,5,tata zest,140.0,4000
228,2014,335000,33033,petrol,dealer,manual,first owner,19.4,1198.0,86.8,5,honda brio,109.0,4500
229,2015,465000,63063,petrol,dealer,automatic,first owner,18.9,1197.0,82.0,5,hyundai grand,114.0,4000
230,2012,290000,60000,diesel,individual,manual,first owner,21.02,1248.0,88.76,5,tata manza,200.0,3000
231,2005,110000,45000,petrol,individual,manual,second owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
232,2007,210000,207890,diesel,individual,manual,second owner,13.6,2523.0,63.0,7,mahindra bolero,180.0,1500
233,2018,4600000,7976,diesel,individual,automatic,first owner,17.9,2143.0,170.0,5,mercedes-benz gl-class,400.0,2800
234,2016,220000,35000,petrol,individual,manual,first owner,16.8,796.0,34.2,8,maruti omni,59.0,2500
235,2017,450000,35000,petrol,individual,manual,first owner,18.9,1197.0,82.0,5,hyundai grand,114.0,4000
236,2013,290000,50000,petrol,individual,automatic,first owner,16.95,1197.0,78.9,5,hyundai i10,111.8,4000
237,2011,265000,20000,petrol,individual,automatic,first owner,16.95,1197.0,78.9,5,hyundai i10,111.8,4000
238,2012,330000,50000,petrol,individual,manual,second owner,18.6,1197.0,85.8,5,maruti swift,114.0,4000
239,2014,509999,120000,diesel,individual,manual,first owner,15.96,2523.0,62.1,7,mahindra bolero,195.0,2200
240,2014,500000,70000,petrol,individual,manual,first owner,17.1,1591.0,121.3,5,hyundai verna,154.9,4200
241,2015,525000,50000,petrol,individual,manual,first owner,17.19,1197.0,81.86,5,hyundai i20,114.73,4000
242,2019,675000,16500,petrol,individual,manual,first owner,21.01,1197.0,81.8,5,maruti baleno,113.0,4200
243,2010,300000,70000,petrol,individual,manual,first owner,17.0,1197.0,80.0,5,hyundai i20,114.0,4000
244,2005,90000,99361,petrol,individual,manual,second owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
245,2014,409000,70000,petrol,individual,manual,second owner,19.1,1197.0,85.8,5,maruti swift,114.0,4000
246,2015,395000,80000,diesel,individual,manual,second owner,24.0,1120.0,70.0,5,hyundai grand,160.0,2750
247,2014,400000,70000,petrol,individual,manual,second owner,19.1,1197.0,85.8,5,maruti swift,114.0,4000
248,2012,120000,60000,petrol,individual,manual,third owner,18.6,1199.0,79.4,5,chevrolet beat,108.0,4400
249,2018,645000,10000,petrol,individual,automatic,first owner,20.3,1199.0,84.0,5,tata tigor,114.0,3500
250,2006,81000,80000,petrol,individual,manual,first owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
251,2017,1300000,30000,diesel,individual,manual,first owner,25.6,1498.0,97.9,5,honda city,200.0,1750
252,2017,1250000,33000,diesel,individual,manual,first owner,25.6,1498.0,97.9,5,honda city,200.0,1750
253,2013,535000,90000,petrol,individual,manual,third owner,16.02,1373.0,93.7,7,maruti ertiga,130.0,4000
254,2014,555000,80100,diesel,individual,manual,second owner,19.01,1461.0,108.5,5,nissan terrano,248.0,2250
255,2014,725000,120000,petrol,individual,manual,first owner,17.4,1497.0,117.3,5,honda city,145.0,4600
